team,season,week,continuity
ARI,2020,2,5.0
ARI,2020,3,5.0
ARI,2020,4,4.0
ARI,2020,5,4.0
ARI,2020,6,5.0
ARI,2020,7,5.0
ARI,2020,9,5.0
ARI,2020,10,4.0
ARI,2020,11,5.0
ARI,2020,12,5.0
ARI,2020,13,5.0
ARI,2020,14,4.0
ARI,2020,15,5.0
ARI,2020,16,4.0
ARI,2020,17,5.0
ARI,2021,1,3.0
ARI,2021,2,4.0
ARI,2021,3,3.0
ARI,2021,4,4.0
ARI,2021,5,4.0
ARI,2021,6,4.0
ARI,2021,7,5.0
ARI,2021,8,4.0
ARI,2021,9,3.0
ARI,2021,10,4.0
ARI,2021,11,4.0
ARI,2021,13,5.0
ARI,2021,14,5.0
ARI,2021,15,3.0
ARI,2021,16,5.0
ARI,2021,17,4.0
ARI,2021,18,4.0
ARI,2022,1,3.0
ARI,2022,2,4.0
ARI,2022,3,5.0
ARI,2022,4,4.0
ARI,2022,5,3.0
ARI,2022,6,4.0
ARI,2022,7,3.0
ARI,2022,8,4.0
ARI,2022,9,3.0
ARI,2022,10,3.0
ARI,2022,11,5.0
ARI,2022,12,4.0
ARI,2022,14,4.0
ARI,2022,15,4.0
ARI,2022,16,5.0
ARI,2022,17,5.0
ARI,2022,18,5.0
ARI,2023,1,1.0
ARI,2023,2,5.0
ARI,2023,3,5.0
ARI,2023,4,5.0
ARI,2023,5,5.0
ARI,2023,6,5.0
ARI,2023,7,3.0
ARI,2023,8,3.0
ARI,2023,9,5.0
ARI,2023,10,3.0
ARI,2023,11,4.0
ARI,2023,12,5.0
ARI,2023,13,4.0
ARI,2023,15,5.0
ARI,2023,16,4.0
ARI,2023,17,5.0
ARI,2023,18,4.0
ARI,2024,1,4.0
ARI,2024,2,5.0
ARI,2024,3,4.0
ARI,2024,4,4.0
ARI,2024,5,5.0
ARI,2024,6,4.0
ARI,2024,7,5.0
ARI,2024,8,5.0
ARI,2024,9,5.0
ARI,2024,10,5.0
ARI,2024,12,4.0
ARI,2024,13,5.0
ARI,2024,14,4.0
ARI,2024,15,5.0
ARI,2024,16,4.0
ARI,2024,17,4.0
ARI,2024,18,4.0
ARI,2025,1,3.0
ARI,2025,2,5.0
ARI,2025,3,4.0
ARI,2025,4,4.0
ARI,2025,5,4.0
ARI,2025,6,3.0
ARI,2025,7,5.0
ARI,2025,9,5.0
ARI,2025,10,5.0
ARI,2025,11,4.0
ARI,2025,12,4.0
ARI,2025,13,5.0
ARI,2025,14,4.0
ARI,2025,15,4.0
ARI,2025,16,5.0
ARI,2025,17,5.0
ARI,2025,18,5.0
ATL,2020,2,4.0
ATL,2020,3,5.0
ATL,2020,4,4.0
ATL,2020,5,5.0
ATL,2020,6,5.0
ATL,2020,7,5.0
ATL,2020,8,5.0
ATL,2020,9,5.0
ATL,2020,11,5.0
ATL,2020,12,5.0
ATL,2020,13,4.0
ATL,2020,14,4.0
ATL,2020,15,4.0
ATL,2020,16,3.0
ATL,2020,17,4.0
ATL,2021,1,4.0
ATL,2021,2,5.0
ATL,2021,3,5.0
ATL,2021,4,5.0
ATL,2021,5,5.0
ATL,2021,7,4.0
ATL,2021,8,4.0
ATL,2021,9,5.0
ATL,2021,10,5.0
ATL,2021,11,5.0
ATL,2021,12,5.0
ATL,2021,13,5.0
ATL,2021,14,5.0
ATL,2021,15,5.0
ATL,2021,16,5.0
ATL,2021,17,5.0
ATL,2021,18,4.0
ATL,2022,1,3.0
ATL,2022,2,5.0
ATL,2022,3,4.0
ATL,2022,4,4.0
ATL,2022,5,5.0
ATL,2022,6,5.0
ATL,2022,7,5.0
ATL,2022,8,5.0
ATL,2022,9,4.0
ATL,2022,10,4.0
ATL,2022,11,4.0
ATL,2022,12,4.0
ATL,2022,13,5.0
ATL,2022,15,4.0
ATL,2022,16,5.0
ATL,2022,17,4.0
ATL,2022,18,5.0
ATL,2023,1,4.0
ATL,2023,2,5.0
ATL,2023,3,5.0
ATL,2023,4,5.0
ATL,2023,5,4.0
ATL,2023,6,4.0
ATL,2023,7,5.0
ATL,2023,8,5.0
ATL,2023,9,5.0
ATL,2023,10,5.0
ATL,2023,12,5.0
ATL,2023,13,4.0
ATL,2023,14,3.0
ATL,2023,15,3.0
ATL,2023,16,3.0
ATL,2023,17,4.0
ATL,2023,18,4.0
ATL,2024,1,4.0
ATL,2024,2,5.0
ATL,2024,3,3.0
ATL,2024,4,5.0
ATL,2024,5,4.0
ATL,2024,6,5.0
ATL,2024,7,4.0
ATL,2024,8,4.0
ATL,2024,9,5.0
ATL,2024,10,5.0
ATL,2024,11,5.0
ATL,2024,13,4.0
ATL,2024,14,5.0
ATL,2024,15,5.0
ATL,2024,16,5.0
ATL,2024,17,5.0
ATL,2024,18,5.0
ATL,2025,1,3.0
ATL,2025,2,5.0
ATL,2025,3,5.0
ATL,2025,4,5.0
ATL,2025,6,5.0
ATL,2025,7,5.0
ATL,2025,8,5.0
ATL,2025,9,4.0
ATL,2025,10,5.0
ATL,2025,11,5.0
ATL,2025,12,4.0
ATL,2025,13,5.0
ATL,2025,14,5.0
ATL,2025,15,5.0
ATL,2025,16,5.0
ATL,2025,17,5.0
ATL,2025,18,5.0
BAL,2020,2,5.0
BAL,2020,3,5.0
BAL,2020,4,4.0
BAL,2020,5,3.0
BAL,2020,6,4.0
BAL,2020,8,3.0
BAL,2020,9,5.0
BAL,2020,10,5.0
BAL,2020,11,4.0
BAL,2020,12,4.0
BAL,2020,13,4.0
BAL,2020,14,5.0
BAL,2020,15,5.0
BAL,2020,16,4.0
BAL,2020,17,3.0
BAL,2021,1,2.0
BAL,2021,2,4.0
BAL,2021,3,5.0
BAL,2021,4,5.0
BAL,2021,5,5.0
BAL,2021,6,5.0
BAL,2021,7,4.0
BAL,2021,9,5.0
BAL,2021,10,5.0
BAL,2021,11,4.0
BAL,2021,12,5.0
BAL,2021,13,5.0
BAL,2021,14,4.0
BAL,2021,15,3.0
BAL,2021,16,4.0
BAL,2021,17,4.0
BAL,2021,18,4.0
BAL,2022,1,2.0
BAL,2022,2,5.0
BAL,2022,3,4.0
BAL,2022,4,5.0
BAL,2022,5,4.0
BAL,2022,6,4.0
BAL,2022,7,4.0
BAL,2022,8,5.0
BAL,2022,9,5.0
BAL,2022,11,5.0
BAL,2022,12,4.0
BAL,2022,13,5.0
BAL,2022,14,3.0
BAL,2022,15,4.0
BAL,2022,16,5.0
BAL,2022,17,5.0
BAL,2022,18,4.0
BAL,2023,1,3.0
BAL,2023,2,3.0
BAL,2023,3,5.0
BAL,2023,4,3.0
BAL,2023,5,4.0
BAL,2023,6,4.0
BAL,2023,7,5.0
BAL,2023,8,5.0
BAL,2023,9,4.0
BAL,2023,10,5.0
BAL,2023,11,4.0
BAL,2023,12,4.0
BAL,2023,14,5.0
BAL,2023,15,5.0
BAL,2023,16,5.0
BAL,2023,17,4.0
BAL,2023,18,3.0
BAL,2024,1,1.0
BAL,2024,2,5.0
BAL,2024,3,5.0
BAL,2024,4,4.0
BAL,2024,5,5.0
BAL,2024,6,5.0
BAL,2024,7,5.0
BAL,2024,8,5.0
BAL,2024,9,5.0
BAL,2024,10,5.0
BAL,2024,11,5.0
BAL,2024,12,5.0
BAL,2024,13,5.0
BAL,2024,15,5.0
BAL,2024,16,5.0
BAL,2024,17,5.0
BAL,2024,18,4.0
BAL,2025,1,5.0
